flight_id,airline,source,destination,departure_time,arrival_time,duration,source_table,error_code,error_reason,payment_id,booking_id,amount,payment_method,passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth,_quality_score,is_overnight,computed_duration_min,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1905,Vivaan,Pillai,84.0,M,vivaan.pillai2@rediffmail.com,+91-7236488723,807711306211,1942-04-14,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1912,Diya,Kulkarni,57.0,F,diya.kulkarni@rediffmail.com,+91-9576626352,675556283333,1969-10-07,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1931,Arjun,Verma,14.0,M,arjun.verma@gmail.com,+91-8539946808,775677722660,2012-03-26,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1944,RiyaGupta,,10.0,M,riyagupta.user@yahoo.com,+91-6910309537,555165176808,2016-07-21,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1982,Aadhya,Das,30.0,F,aadhya.das@outlook.com,+91-7320905013,952753674978,1996-06-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1985,AadhyaNair,,37.0,M,aadhyanair.user@gmail.com,+91-8770401470,446333999485,1989-04-05,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1991,Aarav,Shhharma,4.0,F,aarav.shhharma@rediffmail.com,+91-9196057919,645345472239,2022-11-17,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1994,DiyaKulkarni,,89.0,F,diyakulkarni.user@gmail.com,+91-9694250229,522823052480,1937-09-17,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1999,AnanyaPillai,,14.0,F,ananyapillai.user@outlook.com,+91-7597463844,260321450576,2012-11-28,7.0,,,,,,,,
AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,62.0,,,,,,
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,01:42:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,102.0,,,,,,
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,03:06:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,186.0,,,,,,
SJ146,SpiceJet,HYD,BLR,2026-04-19 22:37:41.702,2026-04-20 00:33:41.702,01:56:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,True,116.0,,,,,,
UK163,Vistara,DEL,HYD,2026-04-19 07:22:41.703,2026-04-19 09:04:41.703,01:42:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,102.0,,,,,,
AI020,,BOM,BLR,2026-04-19 03:53:41.701,2026-04-19 06:21:41.701,02:28:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,148.0,,,,,,
SJ118,SpiceJet,DEL,BOM,2026-04-19 01:08:41.702,2026-04-19 02:33:41.702,01:25:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,85.0,,,,,,
AI043,Air India,CCU,DEL,2026-04-19 00:28:41.701,2026-04-19 04:37:41.701,04:09:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,249.0,,,,,,
AI070,Air India,CCU,DEL,2026-04-19 00:05:41.702,2026-04-19 01:44:41.702,01:39:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,99.0,,,,,,
UK013,Vistara,BOM,MAA,2026-04-18 23:52:41.701,2026-04-19 02:52:41.701,03:00:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,True,180.0,,,,,,
UK139,,BLR,MAA,2026-04-18 10:54:41.703,2026-04-18 14:31:41.703,03:37:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,217.0,,,,,,
UK160,Vistara,BLR,BOM,2026-04-18 06:42:41.703,2026-04-18 10:58:41.703,04:16:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,256.0,,,,,,
UK180,Vistara,CCU,MAA,2026-04-17 21:18:41.703,2026-04-17 23:29:41.703,02:11:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,131.0,,,,,,
UK049,Vistara,HYD,BOM,2026-04-17 19:47:41.701,2026-04-17 20:32:41.701,00:45:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,45.0,,,,,,
SJ037,SpiceJet,BLR,BOM,2026-04-17 19:14:41.701,2026-04-17 22:31:41.701,03:17:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,197.0,,,,,,
6F250,,,,,,,bookings,DQ008,"flight_id matches more than one flight_key, can't resolve without a timestamp",,B1235,,,P1979,,,,,,,,,,,,2025-12-23 11:37:36.951,PENDING,Y7698731,13D,Vedhika Khare,+91-9835680345
6F250,,,,,,,bookings,DQ008,"flight_id matches more than one flight_key, can't resolve without a timestamp",,B1294,,,P1898,,,,,,,,,,,,2025-07-13 11:37:36.951,CANCELLED,J2383972,34B,Hitesh Sant,+91-7709899502
